"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"2.12R2",0.40355680952381,35.6245293491905,"2","2","12","2.12R2.3",37,1.2953,0.0431,1,2.5477,0.0204,"374",0.0146,0.0058,0.0023,5,TRUE,"B1",44
"2.12R2",0.40355680952381,35.6245293491905,"2","2","12","2.12R2.2",36,0.1409,0.0398,1,2.6673,0.0173,"370",0.0124,0.0049,0.0018,5,TRUE,"B1",44
"2.12R2",0.40355680952381,35.6245293491905,"2","2","12","2.12R2.5",41,1.1755,0.0481,1,2.6761,0.0273,"402",0.0202,0.0071,0.0027,5,TRUE,"B1",44
"2.12R2",0.40355680952381,35.6245293491905,"2","2","12","2.12R2.1",36,1.0227,0.0566,1,2.5691,0.0373,"369",0.0327,0.0046,0.0018,5,TRUE,"B1",44
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.7",40,1.0538,0.0329,1,2.5518,0.0117,"147",NA,NA,NA,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.9",41,1.2313,0.0363,1,2.5911,0.0178,"226",0.0138,0.004,0.0015,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.3",37,1.0543,0.0395,1,2.4397,0.0203,"65",0.0155,0.0048,0.0019,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.11",42,1.2331,0.0422,1,2.5017,0.0218,"246",0.0172,0.0046,0.0018,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.8",40,1.2932,0.0526,1,2.4179,0.0274,"156",0.0223,0.0051,0.0021,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.1",35,1.1337,0.0359,1,2.5789,0.0177,"31",0.0143,0.0034,0.0013,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.4",40,1.1497,0.0581,1,2.8903,0.03,"144",0.0197,0.0103,0.0036,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.5",40,1.2158,0.0475,1,2.776,0.0224,"145",0.0153,0.0071,0.0026,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.6",40,1.1777,0.0382,1,2.4396,0.018,"146",0.0124,0.0055,0.0023,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.10",42,0.9986,0.0322,1,2.4439,0.017,"245",0.0143,0.0027,0.0011,5,TRUE,"B1",46
"2.1R2",0.610158947368421,55.1336832774211,"2","2","1","2.1R2.2",37,1.1017,0.0401,1,2.559,0.0222,"64",0.021,0.0013,5e-04,5,TRUE,"B1",46
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.18",46,1.0425,0.0368,1,2.3949,0.0205,"383",0.0171,0.0034,0.0014,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.14",43,0.1337,0.039,1,2.4145,0.0209,"341",0.0164,0.0046,0.0019,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.5",41,0.1779,0.0554,1,2.7595,0.0329,"303",0.027,0.0058,0.0021,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.8",42,0.1743,0.0499,1,2.6216,0.0293,"331",0.0247,0.0047,0.0018,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.15",43,0.1385,0.0319,1,2.2815,0.0154,"342",0.0116,0.0039,0.0017,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.2",41,0.0969,0.0434,1,2.4942,0.0234,"300",0.0177,0.0056,0.0023,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.117",44,0.1751,0.0524,1,2.6223,0.0294,"354",0.0237,0.0057,0.0022,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.6",41,0.096,0.0414,1,2.6213,0.0214,"304",0.0162,0.0051,0.002,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.13",42,0.1186,0.0659,1,2.5341,0.0449,"336",0.0403,0.0047,0.0018,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.7",41,0.0919,0.042,1,2.4983,0.0215,"305",0.0173,0.0042,0.0017,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.4",41,0.0869,0.0355,1,2.2582,0.0208,"302",0.0182,0.0026,0.0012,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.1",40,1.0833,0.0472,1,2.5866,0.0228,"294",0.0185,0.0043,0.0017,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.19",47,1.1551,0.032,1,2.4612,0.0146,"392",0.0107,0.004,0.0016,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.10",42,0.213,0.034,1,2.563,0.0151,"333",0.0104,0.0047,0.0018,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.12",42,0.2,0.047,1,2.5304,0.0284,"335",0.0234,0.005,0.002,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.9",42,0.1146,0.0395,1,2.4285,0.022,"332",0.0184,0.0036,0.0015,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.3",41,0.1124,0.0427,1,2.832,0.0199,"301",0.0127,0.0072,0.0025,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.16",44,0.1746,0.0356,1,2.4145,0.0178,"353",0.0125,0.0053,0.0022,2,TRUE,"B5",55
"2.2R2",0.510923434782609,47.6517420684783,"2","2","2","2.2R2.11",42,0.1016,0.0337,1,2.1692,0.0186,"334",0.0157,0.0029,0.0013,2,TRUE,"B5",55
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.4",37,1.073,0.0259,1,2.495,0.0108,"239",0.0084,0.0024,0.001,5,TRUE,"B3",41
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.6",42,0.0485,0.0364,1,2.2881,0.0213,"324",0.0184,0.0028,0.0012,5,TRUE,"B3",41
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.2",36,1.33,0.0336,1,2.2122,0.0158,"163",0.0138,0.002,9e-04,5,TRUE,"B3",41
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.1",35,1.1726,0.0541,1,2.4918,0.0309,"124",0.0251,0.0058,0.0023,5,TRUE,"B3",41
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.5",41,0.063,0.0219,0,2.3129,0.0092,"308",0.0082,0.001,4e-04,5,FALSE,"B3",41
"2.3R2",0.328003631578947,24.2967594436842,"2","2","3","2.3R2.3",37,0.1213,0.0344,1,2.1915,0.0169,"238",0.013,0.0039,0.0018,5,TRUE,"B3",41
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.8",41,0.0593,0.0348,1,2.2053,0.0196,"310",0.0169,0.0028,0.0013,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.3",38,0.1709,0.0362,1,2.5161,0.0176,"255",0.0144,0.0032,0.0013,4,TRUE,"B4",40
